"phase_id","region","country","location","sampleType","startDate","endDate","midpointDate","testTime","testName","citationID","nSeropositives","nSamples","sensitivityMean","sensitivityL","sensitivityH","includedTable","notes","timeKnown","antigenTarget","antibodyTarget","technique","design","validationGroup","predictedPos","predictedPosL","predictedPosH","sensitivityMeanPred","sensitivityMedianPred","sensitivityLPred","sensitivityHPred"
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",4.5,"Abbott Architect IgG","n-240",11,11,100,71.51,100,"Yes","table 1",TRUE,"N","IgG","CMIA","indirect",77,9,6,11,83.0454274419102,83.826088934481,68.8212432054133,92.8559488303564
"--","Europe","Germany","Dresden","hospitalized + non-hospitalized patients","*August 2020","*October 2020","*September 2020",5,"Abbott Architect IgG","n-133",64,109,58.72,48.88,68.06,"Yes","table 2",TRUE,"N","IgG","CMIA","indirect",77,71,25,101,62.7003428624453,64.7826129586779,23.9585345528152,91.537900783141
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",5,"Abbott Architect IgG","n-132",81,144,56.2,48.2,64.7,"Not yet","supplementary table 8",TRUE,"N","IgG","CMIA","indirect",77,101,80,119,70.0474430724739,70.2991907005894,57.9347397803798,80.5326764127334
"3","South Asia","India","National","representative","--","--","12/27/2020",5,"Abbott Architect IgG","n-96",26,74,35.14,24.39,47.11,"Yes","supplementary table (page 8 of appendix)",TRUE,"N","IgG","CMIA","indirect",77,26,15,39,35.6467449405622,35.3918418728965,24.1134610526268,48.2363443501633
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",6,"Abbott Architect IgG","n-240",30,44,68.18,52.42,81.39,"Yes","table 1",TRUE,"N","IgG","CMIA","indirect",77,34,22,41,75.8672401933832,77.0473146464064,54.6969470076912,90.7394252593056
"--","Europe","Germany","{ Saarland }","non-hospitalized patients","--","*October 2020","*October 2020",6,"Abbott Architect IgG","n-289",15,30,50,31.3,68.7,"Yes","figure 2g",TRUE,"N","IgG","CMIA","indirect",77,17,4,28,56.4640776937238,57.4427735763613,17.9549918560536,89.6986728722109
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",7,"Abbott Architect IgG","n-132",35,107,32.8,24.2,42.3,"Not yet","supplementary table 8",TRUE,"N","IgG","CMIA","indirect",77,61,36,83,56.6605624133223,56.9096749476055,36.1918779358399,75.4512342621875
"3","South Asia","India","National","representative","--","--","12/27/2020",7,"Abbott Architect IgG","n-96",6,23,26.09,10.23,48.41,"N","supplementary table (page 8 of appendix)",TRUE,"N","IgG","CMIA","indirect",77,5,1,11,24.1878192631034,23.3848301999546,11.6096895206737,40.8047881284463
"--","Europe","Germany","Dresden","hospitalized + non-hospitalized patients","*January 2021","*March 2021","*February 2021",10,"Abbott Architect IgG","n-133",26,109,23.85,16.21,32.97,"Yes","table 2",TRUE,"N","IgG","CMIA","indirect",77,32,4,87,33.2129195316192,29.7159091518413,4.59347380131447,78.6415700963577
"--","Oceania","New Zealand","{ Southern District Health Board region }","hospitalized + non-hospitalized patients","3/11/2020","4/5/2020","--",10,"Abbott Architect IgG","n-198",10,37,27.03,13.79,44.12,"Yes","",TRUE,"N","IgG","CMIA","indirect",77,11,1,30,33.4351007277526,29.8192155544794,4.46416289120904,78.5458447709219
"1,2","South Asia","India","Tamil Nadu: Chennai","representative","7/17/2020","10/15/2020","8/31/2020",4.5,"Abbott Architect IgG","n-89",10,14,71.43,41.9,91.61,"","appendix table 8 (not yet included in seroreversion paper)",TRUE,"N","IgG","CMIA","indirect",77,11,7,14,75.449520420567,75.8958689126643,62.022786070577,86.4746708143399
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"Abbott Architect IgG","n-290",101,162,62.35,54.4,69.83,"","table 1",TRUE,"N","IgG","CMIA","indirect",77,129,106,145,79.0062923767152,79.4903781420553,67.2671795764469,87.9091623095737
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",8,"Abbott Architect IgG","n-290",41,95,43.16,33.03,53.72,"","table 1",TRUE,"N","IgG","CMIA","indirect",77,65,42,82,67.540319489751,68.3928769142377,45.8135356340701,84.3122482456997
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",10,"Abbott Architect IgG","n-290",22,89,24.72,16.19,35,"","table 1",TRUE,"N","IgG","CMIA","indirect",77,49,21,73,54.2277899953432,54.6605087326906,25.695931619127,80.2512633224413
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",12,"Abbott Architect IgG","n-290",18,91,19.78,12.16,29.45,"","table 1",TRUE,"N","IgG","CMIA","indirect",77,37,10,70,41.2899192604878,40.2336966190979,12.1703215274514,75.5597250876889
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",14,"Abbott Architect IgG","n-290",5,35,14.29,4.806,30.26,"","table 1",TRUE,"N","IgG","CMIA","indirect",77,10,1,26,30.3373007224927,27.3209578972376,5.27019399106668,70.343070001797
