"time","sensitivityMean","sensitivityMedian","sensitivityL","sensitivityQL","sensitivityQH","sensitivityH","N","S","RBD","LFA","Direct","Neutralization","testName"
0.5,0.887417166500667,0.888239584637407,0.852351683513521,0.876839952138043,0.898935081346054,0.918099398244479,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
0.6,0.884160170257437,0.885007433963732,0.84830299283268,0.873286352994496,0.89599845291245,0.915768604509134,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
0.7,0.880819040895997,0.881647498780081,0.844091885237023,0.869615160735114,0.892931382219032,0.913211982072116,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
0.8,0.877392370315972,0.878288969719909,0.839608900330768,0.865970143611328,0.889817495992604,0.910755596541379,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
0.9,0.873878779713171,0.874795032896121,0.83469845803821,0.862163510071336,0.88677000182461,0.908237329676342,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1,0.87027692377745,0.871238589156484,0.830061035570149,0.858219847974805,0.883470609483477,0.90551684104264,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1.1,0.866585495058827,0.867656496720757,0.825039707036339,0.854190759071582,0.880285806451238,0.90292242041512,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1.2,0.862803228494807,0.863922337960998,0.819867679951527,0.849977859971537,0.876930462786729,0.900263532079627,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1.3,0.858928906090173,0.860143356739254,0.814254439515021,0.845559443335338,0.87353391031547,0.89761931010285,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1.4,0.854961361738785,0.85625518364987,0.808882215892628,0.841251751340001,0.870064429834275,0.894983978311138,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1.5,0.850899486175062,0.852266184373179,0.802746302757246,0.836731435037224,0.86651492915662,0.892320984830881,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1.6,0.846742232040932,0.84817884994216,0.796735305396941,0.832059658342806,0.862875267804922,0.889772462947726,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1.7,0.842488619052077,0.84397876968156,0.790483241444338,0.827395283800283,0.859196666237784,0.8868931172769,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1.8,0.838137739245319,0.839702370506461,0.784249102438719,0.822454152521742,0.855439850767037,0.883838825622919,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1.9,0.833688762286965,0.835337358310481,0.777274663821076,0.817410488455333,0.851626847606458,0.881123063181471,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2,0.82914094081998,0.830915905793486,0.770666725541806,0.81222793478772,0.847735360438621,0.878230120144158,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2.1,0.824493615825867,0.82629891944282,0.763932775801243,0.806929905214707,0.843893707536995,0.875277391863455,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2.2,0.819746221975266,0.821619924725805,0.756387364573769,0.801576626937461,0.839816958986564,0.872369026486046,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2.3,0.81489829293949,0.816860931926446,0.749098895219021,0.795997073021757,0.83563507571995,0.869447770968307,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2.4,0.809949466633542,0.81204756327593,0.741931265677012,0.790319137691899,0.831418632930923,0.86627633433734,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2.5,0.804899490359675,0.807109730022493,0.73428047997624,0.78445840648191,0.827150235144367,0.863402133328924,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2.6,0.799748225819226,0.801953609584166,0.726462383708226,0.778432837125726,0.822818180113904,0.860449200269637,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2.7,0.79449565395938,0.796831337370122,0.718574961219713,0.772473747465583,0.81845032271393,0.857526891752226,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2.8,0.789141879620699,0.7915191625363,0.709851869324245,0.766223278805701,0.814137216150925,0.854345656174757,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2.9,0.783687135950705,0.786185051891885,0.7015849705905,0.759881386184432,0.80953209450008,0.851314938392494,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
3,0.77813178854857,0.780727610539742,0.693186794686177,0.753378156138727,0.804696552426216,0.847884324345268,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
3.1,0.772476339306108,0.775177601801034,0.684392567351467,0.746909038615314,0.800210691754639,0.844834169785141,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
3.2,0.766721429910678,0.769578840068599,0.675397617906628,0.740307808420162,0.795566405986602,0.841758866365958,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
3.3,0.760867844976514,0.76373883222406,0.666514859774167,0.733731150127512,0.790760447488107,0.838878169854123,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
3.4,0.754916514772135,0.757997723846643,0.657581924088094,0.727017930264479,0.785776280323714,0.835715080972061,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
