".variable","assay","paramMean","paramMedian","paramSD","paramL","paramQuartileL","paramQuartileH","paramH"
"assayIntercept","COVIDAR anti-spike anti-RBD",1.2214934087266,1.22860483874505,0.498850812469149,0.212008692379453,0.903330642359287,1.54605728424605,2.2057497768043
"assayIntercept","Elecsys Anti-SARS-CoV-2 Roche spike",1.83800314322259,1.79631316920234,0.796091969475423,0.354455363164888,1.31174145167652,2.33693620528789,3.49159808362451
"assayIntercept","GenScript cPass neutralization kit",2.34021076614796,2.30314870697711,0.68594968522115,1.08670870865819,1.86578061460067,2.77802550979846,3.79953884956749
"assayIntercept","LumiraDx SARS-CoV-2 anti-spike antibody test",1.89457942758281,1.8637511510464,0.742555964907743,0.493619830069751,1.40343647478049,2.35204367611954,3.45541588095576
"assayIntercept","Siemens Advia SARS-CoV-2 IgG anti-RBD",1.11027147460686,1.12952712123137,0.697800228799628,-0.328457099344716,0.676378996664581,1.5717232399044,2.43690769089103
"assayIntercept","Vitros Ortho total Ig anti-spike",1.09139558106908,1.09127290717109,0.559849875102034,-0.00205821634369712,0.716418630746693,1.45684720512338,2.20057577546399
"assayIntercept","Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",1.63636280920608,1.62840391407912,0.637629418157808,0.396246797000343,1.22497100670249,2.04230366842436,2.92004070620814
"assaySlopeEarly","COVIDAR anti-spike anti-RBD",0.242567054954819,0.241368566922813,0.115210832567676,0.0201922787289034,0.164367511693007,0.317410975067872,0.474581576976847
"assaySlopeEarly","Elecsys Anti-SARS-CoV-2 Roche spike",1.00360611278462,0.962983343790089,0.414950272144475,0.304645419545391,0.712018704235238,1.25832719779637,1.91838851786407
"assaySlopeEarly","GenScript cPass neutralization kit",0.150663710359521,0.156063428916605,0.21452499945696,-0.288303148006149,0.0133734449585987,0.298646759513207,0.553808000548337
"assaySlopeEarly","LumiraDx SARS-CoV-2 anti-spike antibody test",0.652426263393032,0.630929722828248,0.343809789724903,0.0325110290202992,0.419653469702277,0.863677484289542,1.3900226941357
"assaySlopeEarly","Siemens Advia SARS-CoV-2 IgG anti-RBD",-0.0087472065929385,-0.00549010118325386,0.174950825640259,-0.360455768304547,-0.123858930616728,0.109142932300449,0.325877008297953
"assaySlopeEarly","Vitros Ortho total Ig anti-spike",0.560858298628502,0.560628202642379,0.125003977942551,0.318535752223136,0.476338701613635,0.643246048774951,0.809504201580436
"assaySlopeEarly","Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",0.460269270938027,0.458842540891674,0.255399380067302,-0.0445187642616848,0.295638535430066,0.626416665255894,0.972127872198059
"assaySlopeLate","COVIDAR anti-spike anti-RBD",-0.173543877564259,-0.158040951033496,0.34840524280404,-0.909450916694907,-0.387455883857245,0.0582668201208639,0.47251485803748
"assaySlopeLate","Elecsys Anti-SARS-CoV-2 Roche spike",0.189655380291353,0.175457672064358,0.182430466507214,-0.132974084820698,0.0643855122143365,0.301094547953997,0.58550890214945
"assaySlopeLate","GenScript cPass neutralization kit",0.00550399278438112,0.0051269011736955,0.0439492582450804,-0.0783257882056564,-0.0245290556228257,0.0349504960136508,0.0939745825331299
"assaySlopeLate","LumiraDx SARS-CoV-2 anti-spike antibody test",0.0161238262397607,0.0160077575872253,0.295728293847261,-0.565809348760656,-0.174458826312493,0.205698910968936,0.597387746192012
"assaySlopeLate","Siemens Advia SARS-CoV-2 IgG anti-RBD",-0.0984853067198265,-0.0991382164494625,0.103031878628485,-0.300310265035633,-0.16643444394998,-0.0281601243840472,0.104040386072388
"assaySlopeLate","Vitros Ortho total Ig anti-spike",0.167056686330121,0.165216798192312,0.0594479252253977,0.054774413091249,0.126382890237187,0.205892891606517,0.286804285654626
"assaySlopeLate","Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",0.191770314618047,0.180679322658612,0.127390971873629,-0.0299376036155512,0.103127827941842,0.271660080765024,0.46975929491894
"charSlope",NA,0.437266506135592,0.426539897796181,0.20244221690111,0.0645022005026098,0.304801657601702,0.555461886622082,0.87285658817002
"intercept",NA,1.58951980782538,1.58268202815137,0.485888298345146,0.634912559242482,1.27824298332331,1.89676941800863,2.56996173503949
"interceptSigma",NA,0.828272772244135,0.78949183945197,0.346514833978809,0.267101532672231,0.582050300289026,1.02958410563865,1.61587287641515
"meanSlopeLate",NA,0.042745624693915,0.0510093891756438,0.181144690211258,-0.341448830297822,-0.0598290284348728,0.154624762915597,0.390325059273167
"slopeSigmaEarly",NA,0.998345392125886,0.911987364570744,0.50686541464159,0.271096685233183,0.621287377034975,1.28177090451195,2.218124823729
"slopeSigmaLate",NA,0.393325509087257,0.370441452881935,0.145905078203304,0.176287094194858,0.288690498396825,0.471615409833477,0.741491957538472
"studyIntercept",NA,-0.00177868425841001,-0.0495400428437896,0.827249941252974,-1.52227809884478,-0.565850788437958,0.528729359214029,1.70879245990782
"studySigma",NA,0.853069018005893,0.825500757770796,0.223769927052387,0.503310853301775,0.692578744618812,0.979482255158217,1.38443137429385
