"phase_id","region","country","location","sampleType","startDate","endDate","midpointDate","testTime","testName","citationID","nSeropositives","nSamples","sensitivityMean","sensitivityL","sensitivityH","includedTable","notes","timeKnown","antigenTarget","antibodyTarget","technique","design"
"--","Europe","Ireland","{ Dublin }","hospitalized + non-hospitalized patients","3/26/2020","7/10/2020","5/18/2020",1,"Abbott Alinity i SARS-CoV-2 IgG nucleocapsid","n-225",149,185,80.54,74.09,85.98,"Yes","table 3",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Germany","{ Cologne }","hospitalized + non-hospitalized patients","*August 2020","*September 2020","--",5,"Abbott Alinity i SARS-CoV-2 IgG nucleocapsid","n-222",195,363,53.72,48.44,58.94,"Yes","supplementary table S2",TRUE,"N","IgG","CMIA","indirect"
"--","Oceania","New Zealand","{ Southern District Health Board region }","hospitalized + non-hospitalized patients","3/11/2020","4/5/2020","--",10,"Abbott Alinity SARS-CoV-2 IgG II Quant","n-198",36,37,97.3,85.84,99.93,"Yes","",TRUE,"RBD","IgG","CMIA","indirect"
"3","South Asia","India","National","representative","--","--","12/27/2020",1,"Abbott Architect IgG","n-96",19,38,50,33.38,66.62,"Yes","supplementary table (page 8 of appendix)",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Ireland","{ Dublin }","hospitalized + non-hospitalized patients","3/26/2020","7/10/2020","5/18/2020",1,"Abbott Architect IgG","n-225",149,185,80.54,74.09,85.98,"Yes","table 3",TRUE,"N","IgG","CMIA","indirect"
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",1,"Abbott Architect IgG","n-240",40,42,95.24,83.84,99.42,"Yes","table 1",TRUE,"N","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","*April 2020","*July 2020","--",1,"Abbott Architect IgG","n-132",158,173,91.4,86.4,94.9,"Not yet","supplementary table 8",TRUE,"N","IgG","CMIA","indirect"
"--","South Asia","India","{ Delhi }","hospitalized + non-hospitalized patients","--","--","12/18/2020",2,"Abbott Architect IgG","n-162",527,673,78.31,75,81.36,"Yes","table 2",TRUE,"N","IgG","CMIA","indirect"
"--","Oceania","Australia","{ Sydney }","hospitalized + non-hospitalized patients","*March 2020","*August 2020","--",2,"Abbott Architect IgG","n-215",116,166,69.88,62.29,76.75,"Yes","table 2",TRUE,"N","IgG","CMIA","indirect"
"1","Europe","Italy","Vo'","representative","5/1/2020","5/3/2020","5/2/2020",2,"Abbott Architect IgG","n-108",60,62,96.77,88.83,99.61,"Yes","supplementary table 2",TRUE,"N","IgG","CMIA","indirect"
