phase_id,global region,country / entity,location,type of sample drawn from,start date,end date,midpoint date,months between prior diagnosis (or symptoms) and serology,test name,citation id,number of seropositives among prior-positives,number of prior-positives,sensitivity estimate,"sensitivity, lower 95% CI",sensitivity upper 95% CI,included in sensitivity overtime tabulation,notes
--,Europe,Ireland,{ Dublin },hospitalized + non-hospitalized patients,3/26/2020,7/10/2020,5/18/2020,1,Abbott Alinity i SARS-CoV-2 IgG nucleocapsid,n-225,149,185,80.5,,,Yes,table 3
--,Europe,Germany,{ Cologne },hospitalized + non-hospitalized patients,*August 2020,*September 2020,--,5,Abbott Alinity i SARS-CoV-2 IgG nucleocapsid,n-222,195,363,53.7,,,Yes,supplementary table S2
--,Europe,Germany,{ Cologne },hospitalized + non-hospitalized patients,*August 2020,*September 2020,--,5,"Abbott Alinity i SARS-CoV-2 IgG nucleocapsid, OR Diasorin Liaison S1/S2 spike IgG",n-222,303,363,83.5,,,Yes,supplementary table S2
--,Europe,Germany,{ Cologne },hospitalized + non-hospitalized patients,*August 2020,*September 2020,--,5,"Abbott Alinity i SARS-CoV-2 IgG nucleocapsid, OR Euroimmun anti-spike",n-222,292,363,80.4,,,Yes,supplementary table S2
--,Europe,Germany,{ Cologne },hospitalized + non-hospitalized patients,*August 2020,*September 2020,--,5,"Abbott Alinity i SARS-CoV-2 IgG nucleocapsid, OR IDK (Immundiagnostik) anti-spike IgG",n-222,326,363,89.8,,,Yes,supplementary table S2
--,Oceania,New Zealand,{ Southern District Health Board region },hospitalized + non-hospitalized patients,3/11/2020,4/5/2020,--,10,Abbott Alinity SARS-CoV-2 IgG II Quant,n-198,36,37,97.3,,,Yes,
3,South Asia,India,National,representative,--,--,12/27/2020,0.5 - 2,Abbott Architect IgG,n-96,19,38,50.0,,,Yes,supplementary table (page 8 of appendix)
--,Europe,Ireland,{ Dublin },hospitalized + non-hospitalized patients,3/26/2020,7/10/2020,5/18/2020,1,Abbott Architect IgG,n-225,149,185,80.5,,,Yes,table 3
--,Oceania,Australia,{ Victoria },hospitalized + non-hospitalized patients,--,--,--,1,Abbott Architect IgG,n-240,40,42,95.2,,,Yes,table 1
--,North America,USA,{ San Francisco },non-hospitalized patients,*April 2020,*July 2020,--,1,Abbott Architect IgG,n-132,--,--,91.4,86.4,94.9,Not yet,supplementary table 8
--,South Asia,India,{ Delhi },hospitalized + non-hospitalized patients,--,--,12/18/2020,2,Abbott Architect IgG,n-162,527,673,78.3,,,Yes,table 2
--,Oceania,Australia,{ Sydney },hospitalized + non-hospitalized patients,*March 2020,*August 2020,--,2,Abbott Architect IgG,n-215,116,166,69.9,,,Yes,table 2
1,Europe,Italy,Vo',representative,5/1/2020,5/3/2020,5/2/2020,2,Abbott Architect IgG,n-108,60,62,96.8,,,Yes,supplementary table 2
--,Oceania,Australia,{ Victoria },hospitalized + non-hospitalized patients,--,--,--,1 - 3,Abbott Architect IgG,n-240,36,39,92.3,,,Yes,table 1
--,North America,USA,{ San Francisco },non-hospitalized patients,--,--,--,3,Abbott Architect IgG,n-132,--,--,77.7,70.7,83.7,Not yet,supplementary table 8
--,North America,USA,{ ? },non-hospitalized patients,--,--,--,3,Abbott Architect IgG,n-134,29,41,70.7,,,Yes,figure 1
