phase_id,global region,country / entity,location,type of sample drawn from,start date,end date,midpoint date,test name,citation id,number of seropositives among prior-positives,number of prior-positives,sensitivity estimate,"sensitivity, lower 95% CI",sensitivity upper 95% CI,notes
1,Europe,Austria,Ischgl,representative,4/21/2020,4/27/2020,4/24/2020,Abbott Architect IgG,n-109,99,105,94.3,,,table 2
1,Europe,Spain,National,representative,4/27/2020,5/11/2020,5/4/2020,Abbott Architect IgG,n-44,176,195,90.3,,,table 3
1,North America,USA,"Davis, Salt Lake, Summit, and Utah counties",representative,5/1/2020,6/30/2020,5/31/2020,Abbott Architect IgG,n-10,25,30,83.3,,,
1,Africa,Ethiopia,14 towns (including Addis Ababa #2),representative,6/24/2020,7/8/2020,7/1/2020,Abbott Architect IgG,n-98,30,55,54.5,,,
1,South Asia,India,Tamil Nadu: Chennai,representative,7/17/2020,7/28/2020,7/22/2020,Abbott Architect IgG,n-88,99,105,94.3,,,
2,South Asia,India,National,representative,8/17/2020,9/22/2020,9/4/2020,Abbott Architect IgG,n-85,38,44,86.4,,,table 2 (excluded 3 samples for taken within 14 days)
2,South Asia,India,Tamil Nadu: Chennai,representative,10/8/2020,10/15/2020,10/11/2020,Abbott Architect IgG,n-89,135,166,81.3,,,table 1
1,South Asia,India,Kashmir: Srinagar district,representative,10/17/2020,10/20/2020,10/18/2020,Abbott Architect IgG,n-92,100,121,82.6,,,table 1 (1 - 4 month time interval stated on page 1795)
1,South Asia,India,Kashmir (whole region),representative,10/17/2020,11/4/2020,10/26/2020,Abbott Architect IgG,n-91,140,172,81.4,,,176 individuals (with 4 seronegatives removed for testing earlier than 14 days)
4,South Asia,India,National,representative,6/14/2021,7/6/2021,6/25/2021,Abbott Architect IgG ,n-97,464,782,59.3,,,S1 table
1,Europe,Ireland,National,representative,6/22/2020,7/16/2020,7/4/2020,"Abbott Architect IgG, then re-test positives and borderline samples with Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",n-111,8,10,,,,table 2
1,Europe,Lithuania,6 cities and municipalities,representative,8/10/2020,9/10/2020,8/25/2020,AMP Rapid Test SARS-CoV-2 IgG/IgM,n-172,6,12,50.0,,,
1,Europe,Germany,Tirschenreuth district,representative,6/28/2020,7/10/2020,7/4/2020,analysis of: in-house RBD ELISA + Elecsys Anti-SARS-CoV-2 Roche nucleocapsid  +  YHLO iFlash SARS CoV-2 (spike + nucleocapsid)  ,n-29,62,66,93.9,,,table 2
--,North America,USA,{ Arkansas },non-hospitalized patients,8/15/2020,9/5/2020,8/25/2020,Beckman ACCESS SARS-CoV-2 anti-RBD,n-281,10,12,83.3,,,supplementary table 1 and table 1
--,North America,USA,{ Arkansas },non-hospitalized patients,9/12/2020,10/24/2020,10/3/2020,Beckman ACCESS SARS-CoV-2 anti-RBD,n-281,14,17,82.4,,,supplementary table 1 and table 1
--,North America,USA,{Arkansas},non-hospitalized patients,11/7/2020,12/19/2020,11/28/2020,Beckman ACCESS SARS-CoV-2 anti-RBD,n-281,4,8,,,,supplementary table 1 and table 1
1,North America,USA,National (COVIDVu),representative,--,--,10/30/2020,BioRad Platelia Total Antibody nucleocapsid,n-143,77,127,60.6,,,
1,North America,USA,Houston,representative,9/8/2020,9/19/2020,9/13/2020,BioRad Platelia Total Antibody nucleocapsid OR  in-house ELISA IgG anti-spike (positive on either,"n-8 , n-144",29,34,85.3,,,n-8 (supplementary table 2)
1,North America,Canada,"National (CCAHS), unvaccinated population",representative,11/2/2020,4/30/2021,1/30/2021,CCAHS ELISA anti-spike anti-RBD anti-nucleocapsid (positive on at least 2 out of 3),n-261,115,145,79.3,,,table 1
1,Latin America,Argentina,Puerto Madryn,representative,03/03/2021,4/17/2021,03/25/2021,COVIDAR anti-spike anti-RBD,n-248,57,78,73.1,,,positive on nasal swab (supplemental S2 data)
1,South Asia,India,Puducherry: Puducherry district,representative,8/11/2020,8/16/2020,8/13/2020,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ,n-87,3,3,,,,
2,South Asia,India,Puducherry: Puducherry district,representative,9/10/2020,9/16/2020,9/13/2020,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ,n-87,3,7,,,,
3,South Asia,India,Puducherry: Puducherry district,representative,10/12/2020,10/16/2020,10/14/2020,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ,n-87,25,29,86.2,,,
1,Oceania,Indonesia,Tanjung Priok sub-district,convenience (general population),11/23/2020,2/19/2021,1/6/2021,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ,n-152,27,32,84.4,,,table 2 (excluded 17 samples for taken within 14 days)
1,South Asia,India,Hyderabad,representative,1/8/2021,1/24/2021,1/16/2021,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ,n-101,260,298,87.2,,,table 2
"2,3",East Asia,Japan,"Miyagi + Osaka + Tokyo (phase 3), Aichi + Fukuoka (phase 2)",representative,12/3/2021,12/27/2021,12/15/2021,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ,n-280,105,132,79.5,,,table 4 on page 6
"3,4",East Asia,Japan,"Miyagi + Osaka + Tokyo (phase 4), Aichi + Fukuoka (phase 3)",representative,2/2/2022,3/6/2022,2/18/2022,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ,n-280,178,230,77.4,,,table 4 on page 6
3,South Asia,India,Delhi,representative,9/1/2020,9/7/2020,9/4/2020,ERBALISA COVID-19 IgG,n-83,148,226,65.5,,,
4,South Asia,India,Delhi,representative,10/15/2020,10/21/2020,10/18/2020,ERBALISA COVID-19 IgG,n-83,147,260,56.5,,,
1,Europe,Austria,Ischgl,representative,4/21/2020,4/27/2020,4/24/2020,Euroimmun anti-spike,n-109,98,105,93.3,,,table 2
1,Europe,France,National,representative,--,--,5/21/2020,Euroimmun anti-spike,n-149,74,83,89.2,,,table 2
1,Europe,France,"Grand Est, Ile-de-France, Nouvelle-Aquitaine",representative,5/4/2020,6/23/2020,5/29/2020,Euroimmun anti-spike,n-31,68,78,87.2,,,table 2
1,Europe,Germany,Kupferzell,representative,5/20/2020,6/9/2020,5/30/2020,Euroimmun anti-spike,"n-110 , n-295",43,50,86.0,,,table 3
