"date","cases","deaths","Location"
2020-03-20,7,0,"Lithuania"
2020-03-21,30,0,"Lithuania"
2020-03-22,58,0,"Lithuania"
2020-03-23,88,1,"Lithuania"
2020-03-24,112,2,"Lithuania"
2020-03-25,167,3,"Lithuania"
2020-03-26,183,4,"Lithuania"
2020-03-27,227,4,"Lithuania"
2020-03-28,263,4,"Lithuania"
2020-03-29,280,4,"Lithuania"
2020-03-30,353,4,"Lithuania"
2020-03-31,397,6,"Lithuania"
2020-04-01,470,6,"Lithuania"
2020-04-02,528,6,"Lithuania"
2020-04-03,571,7,"Lithuania"
2020-04-04,617,8,"Lithuania"
2020-04-05,648,10,"Lithuania"
2020-04-06,688,11,"Lithuania"
2020-04-07,721,11,"Lithuania"
2020-04-08,771,11,"Lithuania"
2020-04-09,809,12,"Lithuania"
2020-04-10,848,13,"Lithuania"
2020-04-11,881,14,"Lithuania"
2020-04-12,900,15,"Lithuania"
2020-04-13,906,16,"Lithuania"
2020-04-14,924,20,"Lithuania"
2020-04-15,951,20,"Lithuania"
2020-04-16,977,21,"Lithuania"
2020-04-17,1026,22,"Lithuania"
2020-04-18,1119,23,"Lithuania"
2020-04-19,1140,26,"Lithuania"
2020-04-20,1166,26,"Lithuania"
2020-04-21,1188,27,"Lithuania"
2020-04-22,1206,27,"Lithuania"
2020-04-23,1222,28,"Lithuania"
2020-04-24,1235,29,"Lithuania"
2020-04-25,1246,31,"Lithuania"
2020-04-26,1261,32,"Lithuania"
2020-04-27,1263,32,"Lithuania"
2020-04-28,1292,32,"Lithuania"
2020-04-29,1311,32,"Lithuania"
2020-04-30,1317,32,"Lithuania"
2020-05-01,1321,33,"Lithuania"
2020-05-02,1328,33,"Lithuania"
2020-05-03,1335,33,"Lithuania"
2020-05-04,1339,33,"Lithuania"
2020-05-05,1346,34,"Lithuania"
2020-05-06,1350,35,"Lithuania"
2020-05-07,1361,35,"Lithuania"
2020-05-08,1386,35,"Lithuania"
2020-05-09,1400,36,"Lithuania"
2020-05-10,1409,36,"Lithuania"
2020-05-11,1418,39,"Lithuania"
2020-05-12,1431,39,"Lithuania"
2020-05-13,1440,39,"Lithuania"
2020-05-14,1452,41,"Lithuania"
2020-05-15,1466,42,"Lithuania"
2020-05-16,1476,43,"Lithuania"
2020-05-17,1482,45,"Lithuania"
2020-05-18,1494,45,"Lithuania"
2020-05-19,1510,46,"Lithuania"
2020-05-20,1525,46,"Lithuania"
2020-05-21,1537,46,"Lithuania"
2020-05-22,1548,47,"Lithuania"
2020-05-23,1558,48,"Lithuania"
2020-05-24,1564,49,"Lithuania"
2020-05-25,1571,51,"Lithuania"
2020-05-26,1576,51,"Lithuania"
2020-05-27,1586,52,"Lithuania"
2020-05-28,1593,52,"Lithuania"
2020-05-29,1602,54,"Lithuania"
2020-05-30,1606,54,"Lithuania"
2020-05-31,1612,55,"Lithuania"
2020-06-01,1615,55,"Lithuania"
2020-06-02,1618,55,"Lithuania"
2020-06-03,1623,55,"Lithuania"
2020-06-04,1631,55,"Lithuania"
2020-06-05,1644,55,"Lithuania"
2020-06-06,1650,56,"Lithuania"
2020-06-07,1656,58,"Lithuania"
2020-06-08,1661,58,"Lithuania"
2020-06-09,1679,58,"Lithuania"
2020-06-10,1687,58,"Lithuania"
2020-06-11,1692,59,"Lithuania"
2020-06-12,1694,59,"Lithuania"
2020-06-13,1702,59,"Lithuania"
2020-06-14,1706,60,"Lithuania"
2020-06-15,1707,60,"Lithuania"
2020-06-16,1712,60,"Lithuania"
2020-06-17,1720,60,"Lithuania"
2020-06-18,1722,60,"Lithuania"
2020-06-19,1728,60,"Lithuania"
2020-06-20,1731,60,"Lithuania"
2020-06-21,1732,60,"Lithuania"
2020-06-22,1734,61,"Lithuania"
2020-06-23,1735,61,"Lithuania"
2020-06-24,1736,61,"Lithuania"
2020-06-25,1739,61,"Lithuania"
2020-06-26,1746,61,"Lithuania"
2020-06-27,1746,61,"Lithuania"
2020-06-28,1746,61,"Lithuania"
2020-06-29,1748,61,"Lithuania"
2020-06-30,1753,61,"Lithuania"
2020-07-01,1757,62,"Lithuania"
2020-07-02,1761,62,"Lithuania"
2020-07-03,1767,62,"Lithuania"
2020-07-04,1772,62,"Lithuania"
2020-07-05,1775,62,"Lithuania"
2020-07-06,1779,62,"Lithuania"
2020-07-07,1787,62,"Lithuania"
2020-07-08,1790,62,"Lithuania"
2020-07-09,1797,62,"Lithuania"
2020-07-10,1801,62,"Lithuania"
2020-07-11,1803,62,"Lithuania"
2020-07-12,1806,62,"Lithuania"
2020-07-13,1811,62,"Lithuania"
2020-07-14,1832,62,"Lithuania"
2020-07-15,1837,62,"Lithuania"
2020-07-16,1844,62,"Lithuania"
2020-07-17,1858,63,"Lithuania"
2020-07-18,1874,63,"Lithuania"
2020-07-19,1881,63,"Lithuania"
2020-07-20,1886,63,"Lithuania"
2020-07-21,1889,63,"Lithuania"
2020-07-22,1892,63,"Lithuania"
2020-07-23,1896,63,"Lithuania"
2020-07-24,1900,63,"Lithuania"
2020-07-25,1904,63,"Lithuania"
2020-07-26,1908,63,"Lithuania"
2020-07-27,1912,63,"Lithuania"
2020-07-28,1933,63,"Lithuania"
2020-07-29,2008,63,"Lithuania"
2020-07-30,2016,63,"Lithuania"
2020-07-31,2032,63,"Lithuania"
2020-08-01,2050,63,"Lithuania"
2020-08-02,2057,63,"Lithuania"
2020-08-03,2070,63,"Lithuania"
2020-08-04,2088,64,"Lithuania"
2020-08-05,2117,64,"Lithuania"
2020-08-06,2136,64,"Lithuania"
2020-08-07,2170,64,"Lithuania"
2020-08-08,2191,64,"Lithuania"
2020-08-09,2206,64,"Lithuania"
2020-08-10,2231,64,"Lithuania"
2020-08-11,2265,64,"Lithuania"
2020-08-12,2281,64,"Lithuania"
2020-08-13,2316,64,"Lithuania"
2020-08-14,2351,64,"Lithuania"
2020-08-15,2383,64,"Lithuania"
2020-08-16,2414,64,"Lithuania"
2020-08-17,2428,64,"Lithuania"
2020-08-18,2466,64,"Lithuania"
2020-08-19,2503,65,"Lithuania"
2020-08-20,2533,66,"Lithuania"
2020-08-21,2574,67,"Lithuania"
2020-08-22,2620,67,"Lithuania"
2020-08-23,2642,68,"Lithuania"
2020-08-24,2663,68,"Lithuania"
2020-08-25,2705,68,"Lithuania"
2020-08-26,2749,68,"Lithuania"
2020-08-27,2775,69,"Lithuania"
2020-08-28,2811,69,"Lithuania"
2020-08-29,2847,69,"Lithuania"
2020-08-30,2864,69,"Lithuania"
2020-08-31,2889,69,"Lithuania"
2020-09-01,2920,69,"Lithuania"
2020-09-02,2946,69,"Lithuania"
2020-09-03,2980,69,"Lithuania"
