authors / representative study location,initial source,inclusion / exclusion,reason for exclusion,duplicate,study also found in search from representative samples (see column B),citations,,"Medrxiv, term 1","Medrxiv, term 2","PubMed, term 1","PubMed, term 2","Biorxiv, term 1","Biorxiv, term 2"
Doykov et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2022.02.14.22270845v1,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Bergeri et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.12.14.21267791v2,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
"Jouberton and Agincourt locations, later phases: Sun et al. ",Medrxiv (also search from representative samples),excluded,no median time between sampling nor start-month / end-month,Yes,Yes,https://www.medrxiv.org/content/10.1101/2022.02.11.22270854v1.full,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Gangelt location: Richter et al. ,Medrxiv (also search from representative samples),excluded,no non-serologic initial diagnosis,Yes,Yes,https://www.medrxiv.org/content/10.1101/2022.01.26.22269805v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Kantauskaite et al.,Medrxiv,excluded,"post-vaccine seroreversion, special population (kidney transplant recipients)",,,https://www.medrxiv.org/content/10.1101/2022.01.18.22269420v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Noordin et al.,Medrxiv,excluded,no sample size nor confidence intervals,,,https://www.medrxiv.org/content/10.1101/2022.01.16.22269388v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Kubale et al.,Medrxiv,excluded,special population (children),,,https://www.medrxiv.org/content/10.1101/2022.01.03.22268684v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Ghafari et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.10.04.21264540v2.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Tobolowsky et al.,Medrxiv,excluded,"post-vaccine seroreversion, special population (nursing home)",,,https://www.medrxiv.org/content/10.1101/2021.12.28.21268458v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Axfors + Ioannidis,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.07.08.21260210v2.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Yang + Shaman,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.12.19.21268073v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
McCance et al.,Medrxiv,included,"-  (excluded Menarini assay since sensitivity varied by lot, as occured with the Wondfo assay in other studies)",,,https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.full-text  [ https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0266086 ],,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Menges et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (Luminex),,,https://www.medrxiv.org/content/10.1101/2021.12.15.21267776v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Levin et al. #2,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.09.29.21264325v3.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Germany SOEP location: Neuhauser et al.,Medrxiv (also search from representative samples),included,-,Yes,Yes,https://www.medrxiv.org/content/10.1101/2021.11.22.21266711v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Abela et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (ABCORA),,,https://www.medrxiv.org/content/10.1101/2021.04.21.21255410v2.full-text,https://www.nature.com/articles/s41467-021-27040-x,"Medrxiv: ""COVID-19 seroreversion""",,,,,
