test_id,test_name_simplified,test_name_long,antigen target,isotype target,test design,assay type,citations,notes,
21,Abbott Alinity i,Abbott Alinity i SARS-CoV-2 IgG nucleocapsid,N,IgG,indirect,CMIA,"https://journals.asm.org/doi/10.1128/JCM.00388-21  ,  https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance  ;  https://www.fda.gov/media/137910/download",design inferred from test description,
4,Abbott Architect,Abbott Architect IgG,N,IgG,indirect,CMIA,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance  ;  https://www.sciencedirect.com/science/article/pii/S138665322100319X,design stated in Scheiblauer et al. citation,
112,Abbott Quant II,Abbott Alinity SARS-CoV-2 IgG II Quant,RBD,IgG,indirect,CMIA,"https://www.corelaboratory.abbott/int/en/offerings/segments/infectious-disease/sars-cov-2-  ,  https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance  ;  https://journals.asm.org/doi/10.1128/JCM.00388-21",design inferred from test description,
-- ,Abingdon AbC-19,Abingdon AbC-19 IgG anti-spike,S,IgG,sandwich,LFIA,"https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.supplementary-material  ,  https://www.abingdonhealth.com/products/abc-19/  ,  https://www.abingdonhealth.com/app/uploads/2021/09/Instructions-for-Use-AbC-19-Rapid-Test-Scorecard-28092021.pdf","unable to determine test design, 'sandwich' design stated in PDF",
-- ,"Acro Biotech, rapid test",Acro Biotech IgG/IgM rapid test,"N, S",IgG IgM,indirect,LFIA,"https://www.aidian.eu/uploads/SE-Produktmaterial/ES-Products/ACRO/8119_02EN_Acro_2019-nCoV_IgG_IgM_Rapid_Test_Brief_Instructions_web.pdf  ,  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8078036/","design inferred (""G"" line separate from an ""M"" line, likely feasible on indirect not sandwich)",
31,"AMP, rapid test",AMP Rapid Test SARS-CoV-2 IgG/IgM,--,IgG IgM,indirect,LFIA,https://www.amp-med.com/news-rapid-test-sars-cov-2  ;  https://www.immunodiagnostic.fi/wp-content/uploads/RD2940_SARS-CoV-2-GM_E_V4.2.1.pdf,design inferred from test description,
101,Beckman ACCESS,Beckman ACCESS SARS-CoV-2 anti-RBD,RBD,IgG,indirect,CLIA,"https://www.beckmancoulter.com/products/immunoassay/access-sars-cov-2-igg-antibody-test  ,  https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance  ;  https://www.fda.gov/media/139627/download",design inferred from test description,
66,"Beijing Kewei Clinical Diagnostic, rapid test","Beijing Kewei Clinical Diagnostic, COVID-19 IgG IgM rapid cassette",--,IgG IgM,indirect,LFIA,"https://www.medrxiv.org/content/medrxiv/suppl/2020/04/14/2020.04.10.20061150.DC1/2020.04.10.20061150-1.pdf 
 ,  https://www.monlab.es/document/Muestras%20suero-plasma/IFU%20Covid%2019%20Igg%20Igm%20TEST%20CASSETTE%20kewei.pdf  ,  https://sacoronavirus.co.za/wp-content/uploads/2020/08/Attachment-to-MAC-memo-on-serological-testing.pdf",design inferred from test description,
95,Bernhard Nocht N ELISA,Bernhard Nocht anti-nucleocapsid IgG ELISA #2,N,IgG,indirect,ELISA,https://journals.asm.org/doi/full/10.1128/jcm.00075-22,design inferred from test description,
--,"Biomerica, rapid test",Biomerica anti-nucleocapsid IgG IgM rapid test,N,IgG IgM,indirect,LFIA,"https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.supplementary-material  ,  http://biomerica.com/wp-content/uploads/2021/06/IFU-1507A-EN.pdf",design inferred from test description,
