citation_id,description,citation
k-15,"published study for Lima + Callao, Peru (phase 1)",https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00081-X/fulltext
n-1,"USA, California, COVIDVu published study, phase 1",https://academic.oup.com/ofid/advance-article/doi/10.1093/ofid/ofab379/6329153
n-2,"USA, Connecticut",https://www.amjmed.com/article/S0002-9343(20)30909-8/fulltext
n-3,"USA, Georgia, COVIDVu published study (Chamberlain et al.), phase 1",https://doi.org/10.1093/infdis/jiab522
n-4,"USA, Georgia: DeKalb and Fulton counties (CDC)",https://www.cdc.gov/mmwr/volumes/69/wr/mm6929e2.htm
n-5,"USA, Indiana, phase 1",https://www.cdc.gov/mmwr/volumes/69/wr/mm6929e1.htm
n-6,"USA, Louisiana: Jefferson and Orleans parishes",https://wwwnc.cdc.gov/eid/article/26/11/20-3029_article
n-7,"USA, Rhode Island",https://ajph.aphapublications.org/doi/10.2105/AJPH.2020.306115  [ https://drive.google.com/drive/folders/1UqIaii6GKZbNU9lp8KBccBOcgDDuaTEp ]
n-8,"USA, Texas: Houston",https://academic.oup.com/jid/advance-article/doi/10.1093/infdis/jiab203/6258999
n-9,"USA, national, COVIDVu published study, phase 1",https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciab626/6318822
n-10,"USA, Utah, phase 1: Davis, Salt Lake, Summit, and Utah counties",https://wwwnc.cdc.gov/eid/article/27/11/20-4435_article
n-11,"USA, Utah, phase 2: Davis, Salt Lake, Summit, and Utah counties (data is incomplete); phase 1: Cache, Washington, and Weber counties",https://issuu.com/ecclesschool/docs/utah_hero_report_11.24.20_gardner_at_front
n-12,"USA, Wisconsin, phases 1 - 3, pre-print",https://www.medrxiv.org/content/10.1101/2020.12.18.20248479v2.full
n-13,"USA, Washington: King County, report",https://kingcounty.gov/depts/health/covid-19/data/~/media/depts/health/communicable-diseases/documents/C19/serosurvey-report-covid19.ashx
n-14,"England REACT-2, phase 1",https://www.nature.com/articles/s41467-021-21237-w
n-15,"England REACT-2, phase 4",https://www.medrxiv.org/content/10.1101/2021.07.21.21260926v1.supplementary-material
n-16,"England ONS, phase 4",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsinthecommunityinengland/characteristicsofpeopletestingpositiveforcovid19inenglandaugust2020#characteristics-of-individuals-testing-positive-for-covid-19-antibodies
n-17,"Great Britain, UK BioBank, phase 2",https://www.ukbiobank.ac.uk/media/s3af0k5q/ukb_serologystudy_month1_report.pdf
n-18,"Ireland, report",https://www.hpsc.ie/a-z/respiratory/coronavirus/novelcoronavirus/scopi/
n-19,"Jersey, phase 3",https://www.gov.je/SiteCollectionDocuments/Government%20and%20administration/R%20Prevalence%20of%20antibodies%2020200707%20SJ.pdf
n-20,"Canada, Ab-C study, phase 1, pre-print",https://www.medrxiv.org/content/10.1101/2021.03.04.21252540v1.full
n-21,"Canada, Ab-C study, phase 2, pre-print",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3903944
n-22,"Denmark SSI, published study, phases 1 - 4",https://link.springer.com/article/10.1007/s10654-021-00796-8
n-23,"Sweden, Stockholm County",https://www.nature.com/articles/s41467-021-23893-4
n-24,Austria: Vienna,https://www.nature.com/articles/s41598-021-89711-5
n-25,"Lithuania, 6 cities and municipalities",https://www.journals.vu.lt/AML/article/view/22344
