phase_id,global region,country / entity,location,reference # in supplement,reference by author name,type of sample drawn from,serology sampling start date,serology sampling end,serology sampling midpoint,months between prior diagnosis (or symptoms) and serology,test name,infection variant known,re-infections known not to occur,severity of infection,median age,sex ratio,notes
--,Europe,Germany,{ Saarland },2,Lohse,non-hospitalized patients,--,*October 2020,*October 2020,6,Abbott Architect,--,--,0% hospitalized,--,--,
--,Europe,Germany,{ Saarland },2,Lohse,non-hospitalized patients,--,*October 2020,*October 2020,6,Elecsys anti-N,--,--,0% hospitalized,--,--,
--,Europe,Germany,{ Saarland },2,Lohse,non-hospitalized patients,--,*October 2020,*October 2020,6,Euroimmun anti-S,--,--,0% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,2,Abingdon AbC-19,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,4,Abingdon AbC-19,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,6,Abingdon AbC-19,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,1,Biomerica rapid test ,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,2,Biomerica rapid test ,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,4,Biomerica rapid test ,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,6,Biomerica rapid test ,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,1,Biozek rapid test,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,2,Biozek rapid test,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,1,LumiraDx,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,2,LumiraDx,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,4,LumiraDx,--,--,2.6% hospitalized,--,--,
--,Europe,Scotland,{ ? },4,McCance,hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,6,LumiraDx,--,--,2.6% hospitalized,--,--,
