seroreversion accounted for,test_id,source  (F=FDA testing/M=manufacturer [sometimes through FDA]/O = other),citation,test_name,sensitivity_estimate,sen_lower95CI,sen_upper95CI,number of COVID+ testing seropositive for sensitivity (TP),total number of COVID+ tested for sensitivity (TP + FN),specificity_estimate,spec_lower95CI,spec_upper95CI,number of COVID- testing seronegative for specificity (TN),total number of COVID- tested for specificity (TN + FP),notes
N/A (baseline),21-M,M,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Abbott Alinity i SARS-CoV-2 IgG nucleocapsid,100.0,89.9,100,34,34,99.0,94.6,99.8,99,100,
N/A (baseline),4-M,M,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Abbott Architect IgG,100.0,95.8,100,88,88,99.6,99.0,99.9,1066,1070,
N/A (baseline),4-O,O,https://thorax.bmj.com/content/75/12/1082,Abbott Architect IgG,90.8,85.6,94.5,167,184,99.8,98.9,100,499,500,
N/A (baseline),--  (M),M,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Abbott Alinity SARS-CoV-2 IgG II Quant,98.1,89.9,99.7,51,52,99.6,99.2,99.8,2000,2008,
N/A (baseline),--  (M),M,https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.supplementary-material,Abingdon AbC-19 IgG anti-spike,98.03,95.03,99.46,199,203,99.56,98.4,99.95,448,450,
N/A (baseline),--  (O),O,https://link.springer.com/article/10.1007/s10096-021-04220-7,Acro Biotech IgG/IgM rapid test,96.0,,,24,25,81.0,,,17,21,
N/A (baseline),31-M,M,"https://www.amp-med.com/news-rapid-test-sars-cov-2  ,  https://www.finddx.org/product/amp-rapid-test-sars-cov-2-igg-igm/",AMP Rapid Test SARS-CoV-2 IgG/IgM,83,,,,,100,,,,,
N/A (baseline),31-O,O,https://sam.lrv.lt/uploads/sam/documents/files/KORONA/Serologini%C5%B3%20tyrim%C5%B3%20naudojimo%20rekomendacijos%20Versija_1.pdf (from n-25),AMP Rapid Test SARS-CoV-2 IgG/IgM,92.0,81.2,96.9,,,99.4,96.6,99.9,,,
N/A (baseline),101-M,M,https://www.beckmancoulter.com/products/immunoassay/access-sars-cov-2-igg-antibody-test,Beckman ACCESS SARS-CoV-2 anti-RBD,100,,,192,192,99.6,,,1395,1400,
N/A (baseline),101-M,M,via: https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Beckman ACCESS SARS-CoV-2 anti-RBD,96.8,91.1,98.9,92,95,99.6,99.2,99.8,1395,1400,
N/A (baseline),66-M,M,https://www.monlab.es/document/Muestras%20suero-plasma/IFU%20Covid%2019%20Igg%20Igm%20TEST%20CASSETTE%20kewei.pdf,"Beijing Kewei Clinical Diagnostic, COVID-19 IgG IgM rapid cassette",91.8,,,,,96.4,,,,,
N/A (baseline),66-F,F,https://www.accessdata.fda.gov/cdrh_docs/presentations/maf/maf3338-a001.pdf,"Beijing Kewei Clinical Diagnostic, COVID-19 IgG IgM rapid cassette",93.3,78.7,98.2,28,30,91.2,83,95.7,73,80,
N/A (baseline),--  (M),-  (M),https://journals.asm.org/doi/full/10.1128/jcm.00075-22,Bernhard Nocht anti-nucleocapsid IgG ELISA #2,100.0,,,35,35,99.7,,,788,790,indirect ELISA
N/A (baseline),--  (M),M,https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.supplementary-material,Biomerica anti-nucleocapsid IgG IgM rapid test,85.0,62.1,96.8,17,20,96.3,89.4,99.2,77,80,
N/A (baseline),--  (O),O,https://thorax.bmj.com/content/75/12/1082,Biomerica anti-nucleocapsid IgG IgM rapid test,81.0,74.7,86.4,149,184,97.8,96.1,98.9,489,500,
N/A (baseline),22-M,M,https://www.fda.gov/media/137493/download,BioRad Platelia Total Antibody nucleocapsid,98.0,,,49,50,99.3,,,596,600,
N/A (baseline),65-M,M,https://academic.oup.com/jid/article/222/2/189/5831993,Bioscience 2019-nCoV IgM and IgG,81.5,,,225,276,100,,,176,176,
N/A (baseline),--  (M),M,https://www.apodan.dk/media/2387/ifu_sw40005a_en_v04202007r02.pdf,Biosynex COVID-19 IgM IgG,100.0,,,456,456,98.1,,,457,466,
N/A (baseline),--  (O),O,https://www.apodan.dk/media/2387/ifu_sw40005a_en_v04202007r02.pdf,Biosynex COVID-19 IgM IgG,100,,,39,39,100,,,40,40,
N/A (baseline),--  (M),M,https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.supplementary-material,Biozek COVID-19 IgG/IgM rapid test,100,86.0,100,20,20,98.0,89.4,99.9,49,50,
N/A (baseline),100-M,M,"n-264 (for ""at least 2 out of 3 antigens"" and table 1)",CCAHS ELISA anti-spike anti-RBD anti-nucleocapsid (positive on at least 2 out of 3),91,,,357,392,100.0,,,560,560,
N/A (baseline),--  (M),M,https://testecovid19.org/wp-content/uploads/2018/10/Bula-Cellex.pdf,Cellex IgG/IgM rapid test,93.8,,,120,128,96.0,,,240,250,
N/A (baseline),62-M,M,https://www.cordx.com/product/covid-19-igm-igg-ab-test/,Coretest COVID-19 IgM/IgG Ab Test (Core Technology),91.0,83.6,95.8,91,100,99.0,96.4,99.9,198,200,
N/A (baseline),62-O,O,https://www.medrxiv.org/content/10.1101/2021.05.08.21256893v1.full,Coretest COVID-19 IgM/IgG Ab Test (Core Technology),79.45,,,58,73,100,,,222,222,
N/A (baseline),74-M,M,"https://ablediagnostics.com/prods/docs/2-IFU.pdf  [tables 1, 2, 5, and 6]","COVID-19 IgG/IgM ECO Test (not the ""Combo"" test; Eco Diagnostica)",100,,,62,62,99.1,,,216,218,
N/A (baseline),74-F,F,via: https://ablediagnostics.com/prods/docs/2-IFU.pdf  [table 4],"COVID-19 IgG/IgM ECO Test (not the ""Combo"" test; Eco Diagnostica)",100,88.7,100,30,30,98.8,,,79,80,
N/A (baseline),74-O,O,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7544564/,"COVID-19 IgG/IgM ECO Test (not the ""Combo"" test; Eco Diagnostica)",75.1,68.2,80.9,130,173,99.1,95.2,99.8,115,116,
N/A (baseline),50-M,M,https://pubmed.ncbi.nlm.nih.gov/33444413/,COVIDAR anti-spike anti-RBD,87.2,,,252,289,100.0,,,277,277,
